english_word,part_of_speech,german,cefr_level,guideword,topic
give birth,phrase,gebären,B2,,body and health
give in,phrasal verb,nachgeben,B1,AGREE,communication
give in,phrasal verb,nachgeben,B2,ADMIT DEFEAT,shopping
give in sth or give sth in,phrasal verb,nachgeben oder nachgeben,B1,,people: actions
give out sth or give sth out,phrasal verb,ausgeben oder ausgeben,B1,,people: actions
give rise to sth,phrase,Anlass geben,C2,,
give sb a call/ring,phrase,rufe/klingel an,A2,,communication
give sb a hard time,phrase,Gib es dir schwer,C2,,
give sb a ring,phrase,ruf mal an,A2,,"communication, people: actions"
give sb the benefit of the doubt,phrase,Geben Sie im Zweifelsfall den Vorteil,C2,,
give sb your word,phrase,gib dein Wort,C1,,communication
give sth a miss,phrase,vergiss es,C1,,
give up (sth/doing sth) or give (sth) up,phrasal verb,aufgeben (etw/tun) oder aufgeben,B2,,people: actions
give up (sth) or give (sth) up,phrasal verb,(etw) aufgeben oder (etw) aufgeben,B1,,people: actions
give up sth or give sth up,phrasal verb,aufgeben oder aufgeben,B1,,
give vent to,phrase,Luft machen,C2,,
give way,phrase,Vorfahrt beachten,C1,,travel
give way,phrase,Vorfahrt beachten,C2,,
give way to sth,phrase,nachgeben,C2,,
glad,adjective,froh,A2,HAPPY,people: personality
glad,adjective,froh,B2,WILLING,
glamour,noun,Glanz,C1,,
glance,noun,Blick,B2,QUICK LOOK,people: actions
"glance at/around/towards, etc.",phrase,einen Blick auf/um/hinzuschauen usw.,B1,,people: actions
"glance at/over/through, etc.",phrase,Blick auf/über/durch usw.,B2,,people: actions
glare,noun,Blendung,C2,LIGHT,
glare,noun,Blendung,C2,LOOK,
glare,verb,Blendung,C2,,people: actions
glass,noun,Glas,A1,SUBSTANCE,describing things
glass,noun,Glas,A1,CONTAINER,food and drink
glasses,noun,Gläser,A1,,clothes
glimpse,noun,Blick,C1,,
global,adjective,global,B2,,natural world
globalization,noun,Globalisierung,C1,,
globally,adverb,global,B2,,natural world
global warming,noun,globale Erwärmung,B2,,natural world
glory,noun,Ruhm,C1,PRAISE,
glory,noun,Ruhm,C1,QUALITY,
glove,noun,Handschuh,A2,,clothes
glow,noun,glühen,C2,LIGHT,
glow,noun,glühen,C2,SKIN,
glow,verb,glühen,C2,,
"glow with happiness/pride,etc.",phrase,strahle vor Glück/Stolz usw.,C2,,
glue,noun,Kleber,C2,,
glue,verb,Kleber,C2,STICK,
go,verb,gehen,A1,MOVE/TRAVEL,travel
go,verb,gehen,A1,DO SOMETHING,travel
go,verb,gehen,B1,DISAPPEAR,
go,verb,gehen,B1,MATCH,
go,verb,gehen,B1,LEAD,travel
go,verb,gehen,B2,SONG,arts and media
go,verb,gehen,B2,TIME,
go,verb,gehen,C2,SOUND/MOVEMENT,
go,verb,gehen,C2,WORKING,technology
go,noun,gehen,B1,OPPORTUNITY,shopping
go,noun,gehen,B2,ATTEMPT,people: actions
go against the grain,phrase,gegen den Strich gehen,C2,IDIOM,
go ahead,phrasal verb,fortfahren,B2,START,people: actions
go ahead,phrasal verb,fortfahren,B2,ALLOW,communication
goal,noun,Ziel,A2,POINT,shopping
goal,noun,Ziel,A2,AREA,shopping
goal,noun,Ziel,B1,AIM,
goalkeeper,noun,Torwart,B1,,shopping
goat,noun,Ziege,B1,,animals
go away,phrasal verb,Geh weg,B1,LEAVE,people: actions
go away,phrasal verb,Geh weg,B1,HOLIDAY,travel
go back,phrasal verb,geh zurück,B1,,travel
"go badly/well, etc.",phrase,schlecht/gut gehen usw.,B1,,
"go bald/blind/grey, etc.",phrase,kahl/blind/grau werden usw.,B1,,
go blank,phrase,gehen Sie leer,B2,,
go by,phrasal verb,geh vorbei,C2,MOVE PAST,
go by,phrasal verb,geh vorbei,B2,TIME,
go crazy,phrase,verrückt werden,B1,,
god,noun,Gott,B2,SPIRIT,
God,phrase,Gott,A2,,
go down,phrasal verb,gehen,B1,BECOME LESS,
go down,phrasal verb,gehen,B1,SUN,natural world
go down,phrasal verb,gehen,C2,BE CONSIDERED,
go downhill,phrase,bergab gehen,C2,IDIOM,
go down with sth,phrasal verb,geh runter mit,B2,,body and health
go/fall to pieces,phrase,in Stücke gehen/zerfallen,C2,IDIOM,
go for sth,phrasal verb,los geht's,B1,CHOOSE,
go for sth,phrasal verb,los geht's,B2,TRY TO GET,people: actions
go from strength to strength,phrase,werde immer stärker,C1,,
go hand in hand,phrase,gehen Hand in Hand,C1,IDIOM,
go in,phrasal verb,geh rein,A2,,people: actions
go into detail/s,phrase,ins Detail gehen,B2,,communication
go into sth,phrasal verb,gehen in,C1,START,work
go into sth,phrasal verb,gehen in,C1,BE USED,
go into sth,phrasal verb,gehen in,C2,DESCRIBE,communication
gold,noun,Gold,A2,,natural world
gold,adjective,Gold,A2,METAL,natural world
gold,adjective,Gold,A2,COLOUR,describing things
golden,adjective,golden,A2,METAL,natural world
golden,adjective,golden,A2,COLOUR,describing things
golden,adjective,golden,B2,SPECIAL,
golf,noun,Golf,A2,,shopping
good,adjective,Gut,A1,HIGH QUALITY,describing things
good,adjective,Gut,A1,PLEASANT,describing things
good,adjective,Gut,A1,HEALTHY,body and health
good,adjective,Gut,A1,PLEASED,communication
good,adjective,Gut,A1,KIND,people: personality
good,adjective,Gut,A1,SUCCESSFUL,
good,adjective,Gut,A2,SUITABLE,describing things
good,adjective,Gut,A2,BEHAVIOUR,people: personality
good,adjective,Gut,B1,MORALLY RIGHT,people: personality
good,adjective,Gut,C1,LARGE,describing things
good,noun,Gut,B2,HELP,
good,noun,Gut,C2,MORALLY RIGHT,
good afternoon,exclamation,Guten Tag,A1,,communication
good/bad press,phrase,gute/schlechte Presse,C1,,
goodbye,exclamation,Verabschiedung,A1,,communication
good evening,exclamation,Guten Abend,A1,,communication
good for you,phrase,gut für dich,A1,,body and health
Good for you!,phrase,Gut für dich!,B2,,communication
good-looking,adjective,gut aussehend,A2,,people: appearance
good morning,exclamation,Guten Morgen,A1,,communication
(Good) morning,phrase,(Guten Morgen,A1,,communication
goodness,noun,Güte,C2,,
good night,exclamation,Gute Nacht,A1,,communication
goods,noun,Waren,B1,,shopping
good value (for money),phrase,gutes Preis-Leistungs-Verhältnis,B1,,"money, shopping"
go off,phrasal verb,geh los,B1,LEAVE,people: actions
go off,phrasal verb,geh los,B1,STOP WORKING,
go off,phrasal verb,geh los,B2,MAKE NOISE,
go off,phrasal verb,geh los,C1,EXPLODE,
go off,phrasal verb,geh los,B2,FOOD,food and drink
go off sth/sb,phrasal verb,losgehen/jdn,B2,,people: personality
Google,verb,Google,B2,,technology
go on,phrasal verb,mach weiter,B1,CONTINUE,
go on,phrasal verb,mach weiter,B1,HAPPEN,
go on,phrasal verb,mach weiter,B2,CONTINUE DOING,people: actions
go on,phrasal verb,mach weiter,B2,TALK AGAIN,communication
go on,phrasal verb,mach weiter,C2,TALK FOR A LONG TIME,communication
go out,phrasal verb,hinausgehen,A1,LEAVE,people: actions
go out,phrasal verb,hinausgehen,B1,RELATIONSHIP,relationships
go out,phrasal verb,hinausgehen,B1,LIGHT/FIRE,
go out of your way to do sth,phrase,Geben Sie sich alle Mühe,C2,,
go overboard,phrase,über Bord gehen,C2,,
go over sth,phrasal verb,geh rüber,B2,,
go red,phrase,werde rot,B2,,people: personality
gorgeous,adjective,wunderschön,B1,,
go/run deep,phrase,tief gehen/laufen,C2,IDIOM,
"go running/swimming, etc.",phrase,Laufen/Schwimmen gehen usw.,A2,,people: actions
go shopping,phrase,geh einkaufen,A1,,shopping
go so far as to do sth,phrase,"Gehen Sie so weit, es zu tun",C2,,
gossip,noun,Tratsch,B2,,communication
gossip,verb,Tratsch,B2,,communication
go through sth,phrasal verb,durchlaufen,B2,EXPERIENCE,
go through sth,phrasal verb,durchlaufen,B2,EXAMINE,
go through the motions,phrase,Gehen Sie die Bewegungen durch,C2,IDIOM,
go through the roof,phrase,durch das Dach gehen,C2,IDIOM,
go through with sth,phrasal verb,durchgehen mit,C2,,
go too far,phrase,zu weit gehen,C2,,
go to the toilet,phrase,geh auf die Toilette,A2,,"body and health, people: actions"
go up,phrasal verb,steigen,B1,INCREASE,
go up,phrasal verb,steigen,C2,EXPLODE,
govern,verb,regieren,B2,,"people: actions, politics"
government,noun,Regierung,B1,GROUP,politics
government,noun,Regierung,B2,PROCESS,politics
"go/walk, etc. up to sb/sth",phrase,gehen/gehen usw. bis zu/etw,B1,,people: actions
go without (sth),phrasal verb,auf etw verzichten,C2,,
go with the flow,phrase,geh mit dem Strom,C2,IDIOM,
go wrong,phrase,schief gehen,B1,,
grab,verb,greifen,B2,TAKE QUICKLY,
grab,verb,greifen,B1,TAKE WITH HAND,people: actions
grab sb's attention,phrase,Aufmerksamkeit erregen,C1,,
grab the opportunity/chance,phrase,Ergreife die Gelegenheit/Chance,C1,,
grace,noun,Anmut,C1,MOVEMENT,
grace,noun,Anmut,C2,POLITENESS,
grace,verb,Anmut,C2,,
graceful,adjective,anmutig,C1,MOVEMENT/SHAPE,describing things
graceful,adjective,anmutig,C2,POLITE,people: personality
grade,noun,Grad,B1,,education
grade,verb,Grad,C1,LEVEL,
gradual,adjective,allmählich,B2,,
gradually,adverb,schrittweise,B2,,
graduate,noun,Absolvent,B2,,education
graduate,verb,Absolvent,B2,,education
grain,noun,Getreide,C2,SEED,food and drink
grain,noun,Getreide,C2,PIECE,
grain,noun,Getreide,C2,QUALITY,
gram,noun,Gramm,A2,,describing things
grammar,noun,Grammatik,A2,,communication
grammatical,adjective,grammatikalisch,C2,,communication
grand,adjective,großartig,C1,,
grandchild,noun,Enkel,A2,,relationships
granddad,noun,Opa,A2,,relationships
granddaughter,noun,Enkelin,A2,,relationships
grandfather,noun,Großvater,A2,,relationships
grandma,noun,Oma,A2,,relationships
grandmother,noun,Großmutter,A2,,relationships
grandpa,noun,Opa,A2,,relationships
grandparent,noun,Großeltern,A2,,relationships
grandson,noun,Enkel,A2,,relationships
granny,noun,Oma,A2,,relationships
grant,noun,gewähren,B1,,money
grant,verb,gewähren,B2,GIVE,communication
grape,noun,Traube,A2,,food and drink
graph,noun,Graph,B2,,communication
graphics,noun,Grafik,B1,,arts and media
grasp,verb,fassen,C1,UNDERSTAND,
grasp,verb,fassen,C1,HOLD,people: actions
grasp,noun,fassen,C2,UNDERSTAND,
grasp,noun,fassen,C2,HOLD,
grasp,noun,fassen,C2,ACHIEVE,
grasp at sth,phrasal verb,begreifen,C2,,people: actions
grasp the nettle,phrase,Fass die Brennnessel an,C2,IDIOM,
grass,noun,Gras,A1,,natural world
grateful,adjective,dankbar,B1,,people: personality
grave,noun,Grab,B2,,
great,adjective,Großartig,A2,LARGE,describing things
great,adjective,Großartig,A1,EXCELLENT,describing things
great,adjective,Großartig,B1,EXTREME,communication
great,adjective,Großartig,B2,IMPORTANT,
"great big/long, etc.",phrase,super groß/lang usw.,B2,,describing things
greatly,adverb,stark,B2,,communication
greatness,noun,Größe,B2,,people: personality
greed,noun,Gier,C1,,
greedy,adjective,gierig,B2,,people: personality
green,adjective,Grün,B1,GRASS,natural world
green,adjective,Grün,A1,COLOUR,describing things
green,adjective,Grün,B2,ENVIRONMENT,natural world
green,noun,Grün,A2,,describing things
greet,verb,begrüßen,C2,REACT,
greet,verb,begrüßen,B1,WELCOME,communication
greeting,noun,Gruß,B1,,communication
grey,adjective,grau,A1,COLOUR,describing things
grey,adjective,grau,B2,WEATHER,
grey,adjective,grau,C1,BORING,
grey,noun,grau,A2,,describing things
grief,noun,Kummer,B2,SADNESS,people: personality
grill,noun,Grill,B1,IN KITCHEN,food and drink
grill,noun,Grill,C1,OVER FIRE,
grill,verb,Grill,B1,,food and drink
grilled,adjective,gegrillt,A2,,food and drink
grim,adjective,grimmig,C2,BAD,
grim,adjective,grimmig,C2,SERIOUS,people: personality
grim,adjective,grimmig,C2,UNPLEASANT,describing things
grin,verb,Grinsen,C2,SMILE,people: actions
grin,noun,Grinsen,C2,,
grin and bear it,phrase,grins und ertrage es,C2,,
grip,verb,Griff,C2,EMOTION,
grip,verb,Griff,B2,HOLD,people: actions
grip,noun,Griff,B2,HOLD,people: actions
grip,verb,Griff,C2,INTEREST,
gripping,adjective,packend,C1,,
grit your teeth,phrase,beißt die Zähne zusammen,C2,IDIOM,
groan,verb,Stöhnen,C2,,communication
groan,noun,Stöhnen,C2,,communication
groom,noun,Bräutigam,B1,,relationships
gross,adjective,brutto,C1,TOTAL,money
gross,adjective,brutto,C1,SERIOUS,
ground,noun,Boden,B1,AREA OF LAND,
ground,noun,Boden,B2,SOIL,natural world
grounds,noun,Gründe,C2,REASON,
grounds,noun,Gründe,C2,LAND,
group,noun,Gruppe,A1,MUSIC,arts and media
group,noun,Gruppe,A1,SET,
group,verb,Gruppe,C1,,
grow,verb,wachsen,A2,DEVELOP,
grow,verb,wachsen,A2,PLANT,natural world
grow,verb,wachsen,B1,INCREASE,
grow,verb,wachsen,B1,HAIR,people: appearance
growing,adjective,Anbau,B2,,describing things
grown-up,noun,erwachsen,B2,,people: appearance
grown-up,adjective,erwachsen,B2,,people: appearance
growth,noun,Wachstum,B2,,
"grow tired/old/calm, etc.",phrase,müde/alt/ruhig werden usw.,B2,,
grow up,phrasal verb,aufwachsen,A2,,people: personality
grumpy,adjective,mürrisch,C1,,
guarantee,verb,Garantie,B2,,communication
guarantee,noun,Garantie,C2,PROMISE,
guarantee,noun,Garantie,B2,,shopping
guard,noun,bewachen,B1,PERSON WHO PROTECTS,work
guard,verb,bewachen,B2,PROTECT,people: actions
guard,verb,bewachen,B2,WATCH,people: actions
guess,verb,erraten,A2,ANSWER/OPINION,communication
guess,noun,erraten,B1,,communication
Guess what?,phrase,"Erraten Sie, was?",A2,,communication
guest,noun,Gast,A2,VISITOR,relationships
guest,noun,Gast,A2,HOTEL,travel
guest,noun,Gast,B2,TV,arts and media
guidance,noun,Anleitung,B2,,communication
guide,noun,Führung,A2,PERSON,work
guide,noun,Führung,B1,BOOK,
guide,verb,Führung,B1,,"people: actions, travel"
guidebook,noun,Reiseführer,A2,,travel
guideline,noun,Richtlinie,C1,,communication
guilt,noun,Schuld,B2,FEELING,people: personality
guilt,noun,Schuld,B2,ILLEGAL,crime
guilty,adjective,schuldig,B1,FEELING,people: personality
guilty,adjective,schuldig,B2,RESPONSIBLE,crime
guitar,noun,Gitarre,A1,,arts and media
guitarist,noun,Gitarrist,B1,,"arts and media, work"
gulf,noun,Golf,C2,,
gum,noun,Gummi,B2,MOUTH,body and health
gun,noun,Pistole,B1,,
guts,noun,Innereien,B2,BRAVERY,people: personality
guts,noun,Innereien,C2,ORGANS,
guy,noun,Kerl,A2,MAN,people: appearance
guys,phrase,Jungs,B1,,
gym,noun,Fitnessstudio,B1,EXERCISES,education
gym,noun,Fitnessstudio,B1,BUILDING,buildings
gymnastic,adjective,Gymnastik-,B2,,shopping
gymnastics,noun,Gymnastik,B1,,shopping
habit,noun,Gewohnheit,B1,REGULAR ACTIVITY,people: actions
habit,noun,Gewohnheit,B2,BAD ACTIVITY,"body and health, people: actions"
habitat,noun,Lebensraum,C1,,natural world
hail,noun,Hagel,C2,,natural world
hail,verb,Hagel,C2,CALL,
hail,verb,Hagel,C2,ICE,natural world
hail sb/sth as sth,phrasal verb,Hagel/etw,C2,,
hair,noun,Haar,A1,ON HEAD,people: appearance
hair,noun,Haar,B2,SINGLE PIECE,"body and health, people: appearance"
haircut,noun,Haarschnitt,B1,,people: appearance
hairdresser,noun,Friseur,B1,,"people: appearance, work"
hairdryer,noun,Fön,B1,,
half,noun,Hälfte,A2,PART,describing things
half,noun,Hälfte,B2,A LOT,describing things
half,adverb,Hälfte,B1,,
"half past one/two/three, etc.",phrase,halb eins/zwei/drei usw.,A1,,
half-price,adjective,zum halben Preis,A2,,"money, shopping"
hall,noun,Saal,A2,BUILDING,buildings
hall,noun,Saal,A2,ENTRANCE,buildings
ham,noun,Schinken,A2,,food and drink
hammer,noun,Hammer,B2,,
hand,noun,Hand,A1,BODY PART,body and health
hand,verb,Hand,B1,GIVE,people: actions
handbag,noun,Handtasche,A2,,clothes
handball,noun,Handball,B1,,
hand/give in your notice,phrase,Geben Sie Ihre Kündigung ab,C2,,work
hand-held,adjective,handgehalten,B1,,technology
hand in hand,phrase,Hand in Hand,B2,,
hand in sth or hand sth in,phrasal verb,abgeben oder abgeben,B1,,"education, people: actions"
handkerchief,noun,Taschentuch,B1,,
handle,verb,handhaben,C2,TOUCH,
handle,verb,handhaben,B1,DEAL WITH,people: actions
handle,noun,handhaben,B2,,
handout,noun,Handzettel,B2,,communication
hand out sth or hand sth out,phrasal verb,austeilen oder austeilen,B1,,people: actions
hand over sb/sth or hand sb/sth over,phrasal verb,etw übergeben oder etw übergeben,B2,,people: actions
handsome,adjective,gutaussehend,B1,ATTRACTIVE,people: appearance
hand sth down or hand down sth,phrasal verb,weitergeben oder weitergeben,C2,,
handwriting,noun,Handschrift,B1,,communication
handy,adjective,praktisch,C2,USEFUL,
handy,adjective,praktisch,C2,NEAR,
hang,verb,aufhängen,B1,FASTEN,people: actions
hang,verb,aufhängen,B2,KILL,"crime, people: actions"
hang,verb,aufhängen,C2,IN AIR,
hang about/around (swh),phrasal verb,herumhängen (swh),B1,,people: actions
hang on,phrasal verb,abwarten,B1,WAIT,people: actions
hang out,phrasal verb,abhängen,B1,,people: actions
hang up,phrasal verb,auflegen,B1,,"communication, people: actions"
hang up sth or hang sth up,phrasal verb,auflegen oder auflegen,B1,,people: actions
happen,verb,passieren,A2,HAVE EXISTENCE,
happen,verb,passieren,A2,RESULT,
happen to do sth,phrase,passiert zufällig,C1,,
happily,adverb,glücklich,B2,WILLING,people: personality
happily,adverb,glücklich,B1,HAPPY,people: personality
happily,adverb,glücklich,C1,LUCKY,
happiness,noun,Glück,B1,,people: personality
happy,adjective,Glücklich,A1,PLEASED,people: personality
happy,adjective,Glücklich,A2,SATISFIED,describing things
"Happy Birthday/New Year, etc.",phrase,Alles Gute zum Geburtstag/Neujahr usw.,A1,,communication
happy to do sth,phrase,Gerne,A2,,
harassment,noun,Belästigung,C1,,
harbour,noun,Hafen,B1,,travel
hard,adjective,hart,A1,DIFFICULT,
hard,adjective,hart,A2,SOLID,describing things
hard,adjective,hart,B1,USING EFFORT,
hard,adjective,hart,C1,UNPLEASANT,
hard,adjective,hart,B2,NOT KIND,people: personality
hard,adverb,hart,A1,USING EFFORT,
hard,adverb,hart,B1,WITH FORCE,
hard drive,noun,Festplatte,B2,,technology
hardly,adverb,kaum,B2,CERTAINLY NOT,communication
hardly,adverb,kaum,B1,ALMOST NOT,communication
hardly ever,phrase,fast nie,B1,,
hardship,noun,Not,C1,,
hardware,noun,Hardware,B1,,technology
hard-working,adjective,hart arbeiten,B2,,
harm,noun,Schaden,B2,HURT,
harm,verb,Schaden,B2,,people: actions
harmful,adjective,schädlich,B2,,describing things
harmless,adjective,harmlos,B2,NO HARM,describing things
harmless,adjective,harmlos,C2,NOT UPSETTING,
harmony,noun,Harmonie,B2,PEACE,"people: personality, relationships"
harmony,noun,Harmonie,C2,MUSIC,arts and media
harsh,adjective,harsch,C1,UNPLEASANT,
harsh,adjective,harsch,C1,CRUEL,people: personality
harsh,adjective,harsch,C1,TOO STRONG,describing things
harshly,adverb,hart,C2,,
harvest,noun,Ernte,B2,,natural world
hat,noun,Hut,A1,,clothes
hate,verb,hassen,A2,,people: personality
hate,noun,hassen,C1,,
hatred,noun,Hass,C1,,people: personality
haul,noun,schleppen,C2,AMOUNT,
haul,verb,schleppen,C2,,people: actions
haunt,verb,verfolgen,B2,MEMORY/FEELING,people: personality
haunt,verb,verfolgen,B2,GHOST,
have,auxiliary verb,haben,A2,,
have,verb,haben,A1,POSSESS,
have,verb,haben,A1,BE ILL,body and health
have,verb,haben,A1,EAT/DRINK,food and drink
have,verb,haben,A2,BABY,body and health
have,verb,haben,B1,HOLD,
have,verb,haben,B1,CAUSE,
have a chip on your shoulder,phrase,Habe einen Chip auf deiner Schulter,C2,IDIOM,
have a high/low opinion of sb/sth,phrase,eine hohe/niedrige Meinung von/etw. haben,C1,,
have an ear for sth,phrase,ein Ohr dafür haben,C1,,
have an eye for sth,phrase,ein Auge dafür haben,B2,IDIOM,
have a/no right to do sth,phrase,habe ein/kein Recht dazu,C1,,
"have a rest/shower/walk, etc.",phrase,Ausruhen/Duschen/Spazierengehen usw.,A2,,people: actions
have a soft spot for sb/sth,phrase,eine Schwäche für etw. haben,C2,IDIOM,
have a weakness for sth/sb,phrase,eine Schwäche für jdn. haben,C2,,
have a word (with sb),phrase,ein Wort haben (mit),B2,,communication
have a word with sb,phrase,,B2,,communication
have been meaning to do sth,phrase,"Ich hatte vorgehabt, es zu tun",B1,,
have/carry sth on you,phrase,Dich haben/tragen,C2,,
"have fun/a nice time/a problem, etc.",phrase,Spaß/eine schöne Zeit/ein Problem usw. haben.,A2,,
have (got) a temperature,phrase,Fieber haben,A2,,body and health
have (got) on sth or have (got) sth on,phrasal verb,haben (eingekommen) oder haben (eingekommen).,B1,,clothes
have (got) to do/be sth,phrase,tun/sein müssen (müssen).,C2,,
have (got) to do sth,phrase,zu tun haben (müssen).,A2,,
have had enough,phrase,Habe genug,C1,,
have/has been to,phrase,war/war dort,A2,,
have heard of sb/sth,phrasal verb,,B2,,
have it in for sb,phrase,Habe es vor,C2,,
have/keep an open mind,phrase,einen offenen Geist haben/behalten,B2,,
have/keep your finger on the pulse,phrase,am Puls der Zeit sein/bleiben,C2,,
have little/no effect,phrase,haben wenig/keine Wirkung,C1,,
have no doubt,phrase,habe keinen Zweifel,B1,,
have no hesitation in doing sth,phrase,"Zögern Sie nicht, dies zu tun",C1,,
have no idea,phrase,habe keine Ahnung,B1,,
have no option (but to do sth),phrase,keine andere Wahl haben (als zu tun),C1,,
have nothing to do with sb,phrase,nichts damit zu tun haben,B2,,
have nothing to do with sb/sth,phrase,nichts mit etw. zu tun haben,B2,,
have no time for sb/sth,phrase,keine Zeit für etw. haben,C2,,
have/play a part in sth,phrase,eine Rolle spielen/haben,B2,,
have sb do sth,phrase,tun müssen,C2,,
"have sb over/round/to stay, etc.",phrase,über / um / bleiben usw.,B2,,
have sth against sb/sth,phrase,gegen / etw. haben,C1,,
"have sth cleaned/cut/repaired, etc.",phrase,haben gereinigt/geschnitten/repariert usw.,B1,,
have sth in common,phrase,gemeinsam haben,B1,,
have sth on your mind,phrase,im Kopf haben,C2,,
"have sth stolen/taken, etc.",phrase,gestohlen/mitgenommen haben usw.,B1,,
have sth up your sleeve,phrase,im Ärmel haben,C2,IDIOM,
(have) the best of both worlds,phrase,(haben) das Beste aus beiden Welten,C1,,
(have) the best of both worlds,phrase,(haben) das Beste aus beiden Welten,C1,IDIOM,
have the edge on/over sb/sth,phrase,einen Vorteil gegenüber etw. haben,C2,,
have your hands full,phrase,Habt alle Hände voll zu tun,C2,IDIOM,
hazard,noun,Gefahr,C1,,
hazardous,adjective,gefährlich,C2,,
he,pronoun,Er,A1,,
head,noun,Kopf,A1,BODY,body and health
head,noun,Kopf,A2,SCHOOL,"education, work"
head,noun,Kopf,B1,ORGANIZATION/DEPARTMENT,work
head,noun,Kopf,B1,MIND,people: personality
head,noun,Kopf,C2,FRONT/TOP,
head,verb,Kopf,B2,LEADER,work
head,verb,Kopf,C1,FRONT/TOP,
headache,noun,Kopfschmerzen,A2,,body and health
"head back/down/towards, etc.",phrase,Kopf nach hinten/unten/zu usw.,B2,,people: actions
heading,noun,Überschrift,C1,,
headline,noun,Überschrift,B1,IN NEWSPAPER,arts and media
head off,phrasal verb,Kopf ab,C2,,
headquarters,noun,Hauptsitz,B2,,"buildings, work"
headteacher,noun,Schulleiter,A2,,"education, work"
heal,verb,heilen,B2,,body and health
health,noun,Gesundheit,A2,,body and health
health care,noun,Gesundheitspflege,C1,,body and health
healthy,adjective,gesund,A2,WELL,body and health
healthy,adjective,gesund,A2,GOOD,body and health
healthy,adjective,gesund,C2,SUCCESSFUL,
heap,noun,Haufen,C2,PILE,
heaps of sth,phrase,haufenweise,C2,,
hear,verb,hören,A1,RECEIVE SOUND,people: actions
hear,verb,hören,A2,LISTEN,people: actions
hear,verb,hören,B1,BE TOLD,communication
hear from sb,phrasal verb,hören von,B1,,communication
heart,noun,Herz,A2,ORGAN,body and health
heart,noun,Herz,B1,EMOTIONS,people: personality
heart,noun,Herz,B2,SHAPE,
heart attack,noun,Herzinfarkt,B1,,body and health
heat,noun,Hitze,B1,,natural world
heater,noun,Heizung,B1,,buildings
heating,noun,Heizung,A2,,buildings
heat up sth or heat sth up,phrasal verb,aufheizen oder aufheizen,B2,,"food and drink, people: actions"
heaven,noun,Himmel,B2,AFTER LIFE,
heaven,noun,Himmel,B2,SOMETHING NICE,
heavenly,adjective,paradiesisch,C1,,
heavily,adverb,stark,B1,,communication
heavy,adjective,schwer,A2,HOW MUCH,describing things
heavy,adjective,schwer,A2,WEIGHING A LOT,describing things
heavy,adjective,schwer,B1,A LOT,describing things
heavy,adjective,schwer,C2,FORCE,
hectic,adjective,hektisch,C1,,
hedge,noun,Hecke,B2,,natural world
heel,noun,Ferse,B1,SHOE PART,clothes
heel,noun,Ferse,B2,BODY PART,body and health
height,noun,Höhe,B1,HOW TALL,"describing things, people: appearance"
height,noun,Höhe,B1,HOW FAR UP,describing things
heir,noun,Erbe,C2,,
helicopter,noun,Hubschrauber,A2,,travel
hell,noun,Hölle,B2,RELIGION,
hell,noun,Hölle,B2,BAD EXPERIENCE,
hello,exclamation,Hallo,A1,GREETING,communication
hello,exclamation,Hallo,A1,ON PHONE,communication
helmet,noun,Helm,B2,,clothes
help,verb,helfen,A1,DO PART OF WORK,people: actions
help,verb,helfen,A2,PROVIDE WHAT IS NEEDED,people: actions
help,verb,helfen,B2,MAKE BETTER,
help,noun,helfen,A2,WHEN SOMEONE HELPS,people: actions
help,noun,helfen,B2,THING THAT HELPS,
Help!,phrase,Helfen!,A2,,communication
helper,noun,Helfer,B2,,people: actions
helpful,adjective,hilfreich,B1,,people: personality
helpless,adjective,hilflos,C1,,
help out (sb) or help (sb) out,phrasal verb,jdm aushelfen oder jdm aushelfen,B2,,people: actions
help yourself (to sth),phrase,hilf dir selbst,B1,,people: actions
hence,adverb,somit,C1,,
her,pronoun,ihr,A1,,
her,determiner,ihr,A1,,
herb,noun,Kraut,B1,,"food and drink, natural world"
here,adverb,Hier,A1,THIS PLACE,
here,adverb,Hier,A1,ON THE PHONE,communication
here,adverb,Hier,B2,AT THIS POINT,
here,adverb,Hier,A2,GIVING,
here and there,phrase,hier und da,B2,,
"here you are/here it is, etc.",phrase,hier bist du/hier ist es usw.,A2,,
heritage,noun,Erbe,C2,,
hero,noun,Held,B1,BRAVE PERSON,people: personality
hero,noun,Held,B1,BOOK/FILM,arts and media
heroic,adjective,heroisch,C1,BRAVE,people: personality
heroic,adjective,heroisch,C1,TRYING HARD,
hers,pronoun,ihre,A2,,
herself,pronoun,sich,A2,REFLEXIVE,
herself,pronoun,sich,B2,EMPHASIS,
hesitate,verb,zögern,B2,PAUSE,people: actions
hesitation,noun,Zögern,C2,,
hey,exclamation,Hey,A2,,communication
hi,exclamation,Hi,A1,,communication
hidden,adjective,versteckt,B1,NOT EASY TO FIND,
hidden,adjective,versteckt,B2,NOT KNOW ABOUT,
hide,verb,verstecken,B1,PERSON,people: actions
hide,verb,verstecken,B1,THING,people: actions
hide,verb,verstecken,B1,FEELING/INFORMATION,
hierarchical,adjective,hierarchisch,C2,,describing things
hierarchy,noun,Hierarchie,C2,,
high,adjective,hoch,A2,TALL,describing things
high,adjective,hoch,B1,ABOVE GROUND,describing things
high,adjective,hoch,B1,AMOUNT/LEVEL,describing things
high,adjective,hoch,B1,VERY GOOD,describing things
high,adjective,hoch,B2,IMPORTANT,describing things
high,adjective,hoch,C2,DRUGS,
