Rank,Hebrew,English,Pronunciation
5143,זנב,tail,zanav
5144,מסלולים,courses / paths / tracks,maslulim
5145,ושיטות,and methods,veshitot
5146,פרישתו,his retirement,prishato
5147,אימוני,training of / practice of,imunei
5148,חילוף,change / exchange,khiluf
5149,כמעין,like,keme'ein
5150,היין,the wine,hayayin
5151,הושפע,was influenced / was affected,hushpa
5151,הושפע,the scouts / the rangers / the observers / the spectators / that/who observe / that/who,
5152,הצופים,hatsofim,
5152,הצופים,watch (m.pl.),
5153,נולדה,was born (f.s.),nolda
5154,נחש,snake,nakhash
5155,העבודות,the works / the jobs,ha'avodot
5156,פילוסופים,philosophers,filosofim
5157,ביכולתו,he is able [to] / within his power,biykholto
5158,אבולוציה,evolution,evolutsia
5159,השייכות,the relevance / the relation / the ownership,hashayakhut
5159,השייכות,that/who belong (f.pl.),hashayakhot
5160,בילה,had fun / spent time (m.s.),bila
5161,בתערוכה,in a show / in an exhibition,beta'arukha
5161,בתערוכה,in the show / in the exhibition,bata'arukha
5162,המכירות,the sales,hamekhirot
5163,מתמטי,mathematical (m.s.),matemati
5164,הרפואה,the medicine,harefu'a
5165,פסלי,statues of / sculptures of,pislei
5166,מינית,sexual / sexually / you appointed (f.s.),minit
5166,מינית,you appointed (m.s.),minita
5167,בסרטן,[in] a crab / [in] cancer,besartan
5167,בסרטן,[in] the crab / [in] the cancer,basartan
5168,לאלים,to/for the gods,la'elim
5168,לאלים,to/for gods,le'elim
5168,לאלים,to/for the violent,la'alim
5168,לאלים,to/for a violent,le'alim
5169,המדידה,the measurement / the measuring,hamedida
5170,הביולוגי,the biological,habiyologi
5171,רקמות,tissues,rekamot
5171,רקמות,embroideries,rikmot
5172,הגנטי,the genetic (m.s.),hageneti
5173,חרקים,insects,kharakim
5174,הארוחה,the meal,ha'arukha
5175,הבישול,the cooking,habishul
5176,מחשבות,thoughts,makhshavot
5177,ואמנם,and indeed,ve'omnam
5178,ואביט,and I will look,ve'abit
5179,קיבה,stomach,keyva
5180,עף,flew (m.s.),af
5181,עט,pen,et
5181,עט,swooped down,at
5182,אתכם,with you (m.pl.),itkhem
5182,אתכם,you (m.pl.),etkhem
5183,המלוה,the escort,hamlave
5183,המלוה,the creditor,hamalve
5184,המחרת,the next day,hamokhorat
5185,העופרת,the lead,ha'oferet
5186,החלותי,I started,hakhiloti
5187,ביציע,in a gallery / in a wing,beyatsi'a
5187,ביציע,in the gallery / in the wing,bayatsi'a
5188,רטן,grumbled / complained (m.s.),ratan
5189,צחקו,laughed (pl.),tsakhaku
5190,צרצר,cricket,tsratsar
5191,במחשבות,in thoughts,bemakhshavot
5191,במחשבות,in the thoughts,bamakhshavot
5192,בחוץ,outside,bakhuts
5193,רגעים,moments,rega'im
5194,מצבי,my state / my situation,matsavi
5195,קרבי,combat (adj.) (m.s.),kravi
5196,כדאי,worthwhile,kedai
5196,כדאי,it is worthwhile,keda'i
5197,הכרטיסים,the tickets,hakartisim
5198,יכולתי,my ability / my capability,yekholti
5198,יכולתי,I could,yakholti
5199,עמל,work / suffering / worked hard,amal
5199,עמל,worker / works hard,amel
5200,אמי,my mother,imi
5201,חשבו,thought (pl.),khashvu
5202,מכירים,know / recognize (m.pl.),mekirim
5203,פרסומת,advertisement / commercials,pirsomet
5204,השניה,the second / the other,hashniya
5205,הדלתות,the doors,hadlatot
5206,גופי,my body,gufi
5207,גור,cub / puppy,gur
5208,ברעב,in hunger,bera'av
5209,מלמעלה,from above,milemala
5210,מזמן,long time ago,mizman
5211,מאליו,by itself,me'elav
5212,הביצה,the egg,habeytsa
5212,הביצה,the swamp,habitsa
5213,באין,without,be'ein
5214,משלי,of mine,misheli
5214,משלי,proverbs of / Book of proverbs,mishlei
5215,מחירי,prices of,mekhirei
5216,מאלה,from these,me'ele
5217,מכוסה,covered (m.s.),mekhuse
5218,לענות,to answer,la'anot
5218,לענות,to torture / to torment,le'anot
5219,לביתו,to/for his home,leveito
5220,לסיים,to finish,lesayem
5221,הקרובים,the close / the relatives (m.pl.),hakrovim
5222,ההשקעה,the investment,hahashka'a
5223,מכירת,sale of,mekhirat
5224,מסייע,assists / helps (m.s.),mesaye'a
5225,מסביר,explains (m.s.),masbir
5226,תכופות,frequently,tkhufot
5227,שבכל,that in all,shebekhol
5228,חשד,suspected (m.s.) / suspicion,khashad
5229,המאכלים,the food / the dishes,ha'ma'akhalim
5230,העולה,the rising / the climbing / the immigrant (m.s.),ha'ole
5230,העולה,the rising / the climbing / the immigrant (f.s.),ha'ola
5231,ממוגן,protected / shielded (m.s.),memugan
5232,מסך,screen / display / curtain,masakh
5233,יק,yak,yak
5234,ידו,his hand,yado
5235,לפרלמנט,to/for a parliament,leparlament
5235,לפרלמנט,to/for the parliament,laparlament
5236,לרוח,to the wind / to/for the spirit,laru'akh
5236,לרוח,to a wind / to/for a spirit,leru'akh
5237,תחושה,feeling / sensation,tkhusha
5238,שכבה,lay down (f.s.),shakhva
5238,שכבה,layer,shikhva
5239,שבתוך,that is inside,shebetokh
5240,עמדתו,his position,emdato
5241,עשיר,rich (m.s.),ashir
5242,אגדה,fairy tale / legend,agada
5243,המלאכה,the work / the craft,hamelakha
5244,המוצא,the way out / the origin,hamotsa
5245,השלבים,the stages / the phases / the rungs,hashlabim
5246,הרוחות,the winds,harukhot
5247,הרבנים,the rabbis,harabanim
5248,במגרש,in a field / in a yard,bemigrash
5248,במגרש,in the field / in the yard,bamigrash
5249,בתוקף,valid / firmly / assertively,betokef
5250,בשער,at the gate,basha'ar
5250,בשער,at the gate of,besha'ar
5251,בעין,in/with an eye,be'ayin
5251,בעין,in/with the eye,ba'ayin
5252,ריצת,run of,ritsat
5253,סגורה,closed (f.s.),sgura
5254,משתנים,variables / vary / change (m.pl.),mishtanim
5255,מעריכים,estimate / value / appreciate (m.pl.),ma'arikhim
5256,מחסה,shelter,makhase
5257,למסקנה,to a conclusion,lemaskana
5257,למסקנה,to the conclusion,lamaskana
5258,לקום,to stand up / to wake up,lakum
5259,לקדם,to promote / to welcome,lekadem
5260,לבטל,to cancel,levatel
5261,לסדרת,to a series of / to the series of,lesidrat
5262,ובמשך,and during,uvemeshekh
5263,ובשל,and because of,ubeshel
5263,ובשל,and ripe,ubashel
5263,ובשל,and cooked (m.s.),vebishel
5264,עטיפת,wrapping of,atifat
5265,אמיתית,real (f.s.),amitit
5266,איטי,slow,iti
5267,חלום,dream,khalom
5268,חוקרי,investigators of / researchers of,khokrei
5269,חוקר,investigator / researcher / investigates / researches / inquires (m.s.),khoker
5270,אחיה,her brother,akhiha
5271,אחוזים,percentage / possessed / stricken (m.pl.),akhuzim
5272,כשלון,failure,kishalon
5273,כשר,kosher,kasher
5274,ככלי,as an article,kikhli
5274,ככלי,as articles / as the articles of,kikhlei
5275,כהונתו,his cadence / his tenure,kehunato
5276,המודעות,the notices / the ads,hamoda'ot
5276,המודעות,the awareness,hamuda'ut
5276,המודעות,that are aware (f.pl.),hamuda'ot
5277,המגן,the defender / the shield,hamagen
5278,היציאה,the exit,hayetsi'a
5279,השוטרים,the policemen,hashotrim
5280,הפינוי,the eviction / the evacuation,hapinui
5281,הפסידה,lost (f.s.),hifsida
5282,החליפה,changed / replaced (f.s.),hekhlifa
5283,ההוראה,the order / the instruction,hahora'a
5284,הבולט,the protruding / that/who stands out (m.s.),habolet
5285,הבכיר,the senior,habakhir
5286,דווח,was reported,duvakh
5286,דווח,report (m.s. imperative),davakh
5287,במרחב,in space,bamerkhav
5287,במרחב,in a space / in the space of,bemerkhav
5288,בתחתית,at the bottom of,betakhtit
5288,בתחתית,at the bottom / in the subway,batakhtit
5289,בעומק,at a depth of,be'omek
5289,בעומק,deep / at the depth,ba'omek
5290,בהתנגדות,[in] a resistance / [in] an objection,behitnagdut
5290,בהתנגדות,[in] the resistance / [in] the objection,bahitnagdut
5291,בהוצאת,[in] an expense / in a removal / in an edition / published by,behotsa'at
5292,בדעה,holds the opinion / in [clear] mind,bede'a
5293,ספריו,his books,sfarav
5294,נמלטו,escaped (pl.),nimletu
5295,נועד,intended for / destined for / conferred (m.s.),no'ad
5296,נעורים,youth,ne'urim
5297,נטו,"net (weight, wages)",neto
5297,נטו,they were inclined / they tended to / they were tilted,natu
5298,משוריינות,shielded / armored / secured / iron-bound (f.pl.),meshuryanot
5299,ארטילריה,artillery,artilerya
5300,הקונפדרציה,the confederation,hakonfederatsya
5301,האספקה,the supply,ha'aspaka
5302,מפציצים,bombers / bomb (m.s.),maftsitsim
5303,קיסרי,caesarian,keysari
5304,בצי,in a navy / in an armada,betsi
5304,בצי,in the navy / in the armada,batsi
5305,להתקיף,to attack,lehatkif
5306,המזוינת,the armed (f.s.),hamezuyenet
5307,פקידים,clerks / officials,pkidim
5308,פקודת,order of,pkudat
5309,פצועים,injured (m.pl.),ptsu'im
5310,משטרו,his regime / his reign,mishtaro
5311,בכוחות,with powers / with forces,bekokhot
5312,להוות,to be / to constitute,lehavot
5313,שקדמו,that/who preceded (pl.),shekadmu
5314,שנמצאו,that/who were found / that/who were [at],shenimtse'u
5315,עצמאיות,independent (f.pl.),atsma'iyot
5316,אצילים,aristocrats / noble (m.pl.),atsilim
5317,העבירו,passed / transferred (pl.),he'eviru
5318,ההנחה,the assumption / the discount,hahanakha
5319,במושבות,in villages / in colonies,bemoshavot
5319,במושבות,in the villages / in the colonies,bamoshavot
5320,בהתקפה,in/under an attack,behatkafa
5320,בהתקפה,in/under the attack,bahatkafa
5321,מילימטרים,millimeters,milimetrim
5322,להשמיד,to destroy,lehashmid
5323,בכיבוש,[in] an occupation / by occupying,bekibush
5323,בכיבוש,[by] the occupation,bakibush
5324,רובי,rifles of,rovei
5324,רובי,my rifle,rovi
5325,נורו,were shot,noru
5326,נשמר,is/was guarded / is/was kept / is/was protected (m.s.),nishmar
5327,מודיעין,information / intelligence,modi'in
5328,לחיל,to the forces of,lekheil
5328,לחיל,to forces / to success,lekhayil
5329,להחליט,to decide,lehakhlit
5330,להבקיע,to score [a goal],lehavki'a
5331,הקרויים,that/who are called (m.pl.),hakruyim
5332,החשש,the worry / the fear,hakhashash
5333,הסטודנטים,the students,hastudentim
5334,ביחידות,in units / in squad,beyekhidot
5334,ביחידות,in the units / in the squads,bayekhidot
5335,בגלוי,openly,begalui
5336,ציבורי,public,tsiburi
5337,נדרשו,were required,nidreshu
5338,מייסד,the founder,meyased
5339,מילולית,verbally / literally,milulit
5340,מקו,from a line / from the line of,mikav
5341,מחוזות,districts,mekhozot
5342,מדינית,political (f.s.),medinit
5343,מטענים,cargoes / luggage / load,mit'anim
5344,לפיו,according to him/it,lefiv
5345,וליצור,and to create / and to make,velitsor
5346,וחלקם,and some of them / and their part / and their share,vekhelkam
5347,שעלתה,that/who went up / that/who climbed / that/who increased / that/who immigrated (f.s.),she'alta
5348,קודמות,former / previous (f.pl),kodmot
5349,פיגועי,the terrorist acts of,pigu'ei
5350,כפולה,double / multiple,kfula
5351,המוחלט,the total (m.s.),hamukhlat
5352,התגובה,the response,hatguva
5353,הנסיך,the prince,hanasikh
5354,סבו,his grandfather,savo
5354,סבו,encircled / rotate (pl.),savu
5355,נתגלו,were discovered,nitgalu
5356,נהרסו,were destroyed / were demolished,nehersu
5357,מתוארים,are described (m.pl.),meto'arim
5358,מתקני,installations of / devices of,mitkanei
5359,מועמדים,applicants / candidates / nominees (m.pl.),mu'amadim
5360,מכוסים,covered (m.pl.),mekhusim
5361,מהעיר,from the city,meha'ir
5362,מנהרה,tunnel,minhara
5363,לבלתי,in order not,levilti
5364,תעשיית,industry of,ta'asiyat
5365,ובתי,and the houses of / and the homes of,uvatei
5366,שליחים,messengers / delegates / couriers,shlikhim
5367,שזכו,who won / who attained (pl.),shezakhu
5368,קשורים,tied / linked / connected (m.pl.),kshurim
5369,קהילות,communities,kehilot
5370,עמודי,pages of / pillars of,amudei
5371,אופיינית,characteristic (f.s.),ofyanit
5372,חשיבה,thinking,khashiva
5373,חזקות,strong (f.pl.) / powers (math.),khazakot
5374,כבית,as a home,kevayit
5375,המוקדמת,the early / the preliminary (f.s.),hamukdemet
5376,המוכר,the known / the familiar,hamukar
5376,המוכר,the seller / the salesman,hamokher
5377,המשפיעים,that effect / that influence (m.pl.),hamashpi'im
5378,האופן,the mode / the manner / the way,ha'ofen
5378,האופן,the wheel,ha'ofan
5379,הכותרת,the title,hakoteret
5380,ההצעה,the proposal / the suggestion / the offer,hahatsa'a
5381,הסיום,the end,hasiyum
5382,הסיבוב,the rotation / the revolution,hasivuv
5383,הנהרות,the rivers,haneharot
5384,הנטייה,the inclination / the tendency / the tilt,hanetiya
5385,דורות,generations,dorot
5386,בעמק,in a valley,be'emek
5386,בעמק,in the valley,ba'emek
5387,טרופי,tropical (m.s.),tropi
5388,רומן,love affair / novel,roman
5389,צפיפות,density / crowding,tsfifut
5390,סיפק,satisfied / supplies (m.s.),sipek
5391,סם,drug,sam
5392,נאסר,/ was forbidden / was imprisoned (m.s.),ne'esar
5393,מלב,from a heart / from the heart of,milev
5394,הרבני,the rabbinical,harabani
5395,תהומי,abyssal / deep / bottomless,tehomi
5396,שחקים,sky,shkhakim
5397,השדרות,the boulevards,hasderot
5398,בפרעות,in pogroms / in riots,bifra'ot
5398,בפרעות,in the pogroms / in the riots,bapra'ot
5399,גדי,young goat / Capricorn,gdi
5400,סגירת,closing of,sgirat
5401,מבצעי,the people who perform [X],mevats'ei
5402,מאורעות,events,me'ora'ot
5403,המנהרות,the tunnels,haminharot
5404,עתיקות,ancient / old (f.pl.) / antiquities,atikot
5405,חבריו,his friends,khaverav
5406,המגורים,the residence / the stimulated (m.pl.),hamegurim
5407,משקאות,drinks,mashka'ot
5408,מעיינות,springs,ma'ayanot
5409,התאחדות,association,hit'akhadut
5410,רשויות,authorities,rashuyot
5411,צינורות,pipes,tsinorot
5412,מייצג,represents (m.s.),meyatseg
5413,מושגים,concepts / obtained / achieved (m.pl.),musagim
5414,לתרבות,to/for civilization / to/for culture,letarbut
5414,לתרבות,to/for the civilization / to/for the culture,latarbut
5415,לשרוד,to survive,lisrod
5416,תא,cell,ta
5417,פלגת,group of (mil.) / division of (family),palgat
5418,גופם,their body,gufam
5419,בתחומים,in fields / in areas / in ranges,bitkhumim
5419,בתחומים,in the fields / in the areas / in the ranges,batkhumim
5420,בדיעבד,post factum,bedi'avad
5421,מנסים,try (m.pl.),menasim
5422,ידועות,known (f.pl.),yedu'ot
5423,השימור,the conservation,hashimur
5424,הקשור,that/who is tied / that/who is linked / that/who is connected (m.s.),hakashur
5425,בקלפי,at the poll / in the polling booth,bakalpi
5426,ליברליות,liberalism,liberaliyut
5426,ליברליות,liberal (f.pl.),liberaliyot
5427,מורה,teacher,more
5428,יציבה,stable (f.s.),yatsiva
5429,תאוריית,the theory of,te'oryat
5430,זיקה,affinity / linkage / disposition,zika
5431,לתואר,to/for a title / to/for a degree / to/for an adjective / to/for an appearance / to/for a shape,leto'ar
5431,לתואר,to/for the title / to/for the degree / to/for the adjective / to/for the appearance / to/for the,
5431,לתואר,lato'ar,
5431,לתואר,shape,
5432,תפוצת,the distribution of,tfutsat
5433,אמנותי,artistic (m.s.) / my art,omanuti
5434,הכדורגל,the football / the soccer,hakaduregel
5435,בירה,capital,bira
5435,בירה,beer,bira
5436,נפח,volume,nefakh
5436,נפח,blacksmith,napakh
5437,השיגעון,the madness / the insanity,hashiga'on
5438,מטפל,the care giver / treats / handles (m.s.),metapel
5439,במאים,directors,bama'im
5440,הגייה,pronunciation,hagiya
5441,הוריו,his parents,horav
5442,להיכל,to a palace / to a temple,leheykhal
5442,להיכל,to the palace / to the temple,laheykhal
5443,סרטון,film strip,sirton
5444,נגן,player (of music),nagan
5444,נגן,play (music) (m.s. imperative),nagen
5445,החזרה,return / giving back,hakhzara
5445,החזרה,the repetition / the rehearsal,hakhazara
5446,הפואמה,the poem,hapo'ema
5447,לנוער,for youth / for the youth of,leno'ar
5447,לנוער,for the youth,leno'ar
5448,התופעות,the phenomena,hatofa'ot
5449,הדומים,the similar (m.pl.),hadomim
5450,רוכב,rides (m.s.),rokhev
5451,המימן,the hydrogen,hameiman
5452,החיידקים,the bacteria,hakhaydakim
5453,הכדורסל,the basketball,hakadursal
5454,גלוקוז,glucose,glukoz
5455,גומלין,reciprocal / mutual,gomlin
5456,ברומח,by/with the lance,baromakh
5456,ברומח,by/with a lance,beromakh
5457,רומח,spear / lance,romakh
5458,סיבובים,rotations / revolutions / whirls,sivuvim
5459,לתחרות,to/for a competition,letakharut
5459,לתחרות,to/for the competition,latakharut
5460,פיזיולוגיה,physiology,fiziologia
5461,מכילים,contain (m.pl.),mekhilim
5462,בטמפרטורות,at temperatures,betemperaturot
5463,חיזור,courting / reduction (chemistry),khizur
5464,ירדתי,I went down / I came down / I descended,yaradeti
5465,אצלי,in my possession / at my place / near me,etsli
5466,כולנו,all of us,kulanu
5467,לבנין,to a building / for the building of,lebinyan
5468,וכה,and so,veko
5468,וכה,thither [hither and thither],vakho
5469,שלשול,diarrhea / earthworm,shilshul
5470,שזיפים,plums,shezifim
5471,ענפיו,its branches,anafav
5472,להציע,to propose / to suggest / to offer,lehatsi'a
5473,בשמש,in the sun,bashemesh
5474,בשלום,in peace,beshalom
5475,מלכת,queen of,malkat
5476,מאין,from where,me'ayin
5477,חרושת,industry / manufacture,kharoshet
5478,מתוק,sweet (m.s.),matok
5479,לתוכה,into her/it,letokha
5480,פיה,nozzle / mouthpiece,piya
5480,פיה,fairy,feya
5481,עופרת,lead,oferet
5482,ציינו,noted / marked / pointed out (pl.),tsiyenu
5483,נחתם,was signed,nekhtam
5484,להודיע,to notify,lehodi'a
5485,ויאמר,and he will say,veyomar
5485,ויאמר,and he shall say / and he said (biblical),va'yomer
5485,ויאמר,and will be said,veye'amer
5486,הישנים,the old (m.pl.),hayeshanim
5486,הישנים,the sleeping (m.pl.),hayeshenim
5487,ההכרה,the recognition / the consciousness,hahakara
5488,הס,quite,has
5489,דיברו,spoke / talked (pl.),dibru
5490,בכבוד,respectfully / with honor,bekhavod
5491,צמודה,attached / linked / adjacent (f.s.),tsmuda
5492,משך,duration,meshekh
5492,משך,pulled / attracted / withdrew,mashakh
5493,מנוחה,rest,menukha
5493,מנוחה,deceased (f.s.),menokha
5494,זכוכית,glass,zkhukhit
5495,הזרעים,the seeds,hazra'im
5496,החרדים,the fearful / the anxious / the ultra-orthodox (m.pl.),hakharedim
5497,הבגדים,the clothes,habgadim
5498,הטובות,the good / the favors (f.pl.),hatovot
5499,בדברים,in the things / in the matters / in the words / in the speech / in the things that were said,badvarim
5499,בדברים,talked / negotiated,[ba] bidvarim
5500,מצליחים,succeed / successful (m.pl.),matslikhim
5501,לשדה,to the field,lasade
5501,לשדה,to a field,lesade
5502,שהעניק,that/who gave (m.s.),shehe'enik
5503,עונש,punishment,onesh
5504,עצום,huge (m.s.),atsum
5505,חלש,weak (m.s.),khalash
5506,חופשיות,free (f.s.),khofshiyot
5507,הידיעות,the news,hayedi'ot
5508,הידיעה,the knowledge / the news,hayedi'a
5509,הולכי,the walkers of,holekhei
5509,הולכי,pedestrians,holkhey [regel]
5510,השתנה,changed (m.s.),hishtana
5511,השחורים,the black (m.pl.),hashkhorim
5512,האותיות,the letters,ha'otiyot
5513,האנושיות,the humanism,ha'enoshiyut
5513,האנושיות,the humane (f.pl.),ha'enoshiyot
5514,הסכנה,the danger / the risk,hasakana
5515,במקצת,somewhat / slightly,bemiktsat
5516,בחר,chose / selected / voted (m.s.),bakhar
5517,נענה,answered / agreed / was answered (m.s.),na'ana
5518,נסיעה,drive / travel,nesi'a
5519,משרת,servant / serves (m.s.),mesharet
5520,מפורט,detailed (m.s.),meforat
5521,מהארץ,from the country / from Israel,meha'arets
5522,מטופל,patient / taken care of / person who is taken care of (m.s.),metupal
5523,מסודרים,organized / settled (m.pl.),mesudarim
5524,להכריע,to decide / to overpower,lehakhri'a
5525,לרגלי,at the feet of,leraglei
5525,לרגלי,at my feet / to/for my legs,leraglai
5526,ומאז,and since then,ume'az
5527,ולו,and to/for him / and he has / and he had,velo
5527,ולו,even if,velu
5528,ואחרות,and other (f.pl.) / and others (f.),ve'akherot
5529,והחלו,and started (pl.),vehekhelu
5530,שלחו,sent (pl.),shalkhu
5531,שלטה,ruled (f.s.),shalta
5532,ששמו,that/who placed / that/who put (pl.),shesamu
5533,שעלו,that/who went up / that/who climbed / that/who increased / who immigrated (pl.),she'alu
5534,שכונתה,that/who was named (f.s.),shekunta
5535,פוגע,hits / damages / offensive (m.s.),poge'a
5536,פשרה,compromise / conciliation,pshara
5537,פנימית,internal (f.s.),pnimit
5538,עבודתם,their work,avodatam
5539,חיפוש,search,khipus
5540,איכרים,peasants / farmers,ikarim
5541,זוהר,glowing / shining,zoher
5541,זוהר,glow / shine,zohar
5542,חשיבותו,his importance / its importance,khashivuto
5543,כפול,double,kaful
5544,המוקדמות,the early / the preliminary (f.pl.),hamukdamot
5545,היקף,perimeter/ circumference / scope,hekef
5546,התיק,the bag / the case / the file / the portfolio,hatik
5547,התקדם,advanced / made a progress (m.s.),hitkadem
5548,התפילה,the prayer,hatfila
5549,השמרנית,the conservative (f.s.),hashamranit
5550,החשובה,the important (f.s.),hakhashuva
5551,הכפרים,the villages,hakfarim
5552,הרים,mountains,harim
5552,הרים,lifted (m.s.),herim
5553,הרדיו,the radio,haradio
5554,הנקראת,that/who is called / that/who is summoned (f.s.),hanikret
5555,גורלם,their fate,goralam
5556,גזר,carrot,gezer
5556,גזר,cut / ruled / concluded (m.s.),gazar
5557,במחלה,in sickness,bemakhala
5558,בינו,between him,beino
5559,בשבת,on Saturday,beshabat
5559,בשבת,on the Saturday,bashabat
5560,בגופו,in/with his body,begufo
5561,בבירור,clearly / obviously / under inquiry,beverur
5562,בטעות,by mistake,beta'ut
5563,צבעים,colors,tsva'im
5563,צבעים,painters,tsaba'im
5564,סוד,secret,sod
5565,סכנת,risk of,sakanat
5566,כקיסר,as a Caesar,kekeisar
5567,הקומוניזם,communism,hakomunizm
5568,הכניעה,the surrender,hakni'a
5569,לנהר,to a river,lenahar
5569,לנהר,to the river,lanahar
5570,בחבל,with a rope,bekhevel
5570,בחבל,with the rope,bakhevel
5571,פיטר,fired,piter
5572,פקידי,clerks of / officials of,pkidei
5573,בשיאה,at her/its top / at her/its peak,besi'a
5574,בהרים,[at/on] the mountains,baharim
5575,נסיגה,withdrawal / retreat,nesiga
5576,לתאם,to coordinate,leta'em
5577,להעברת,for the pass of / for the transfer of,leha'avarat
5578,כלכלה,economy,kalkala
5579,המחוזות,the districts,hamekhozot
5580,הקיסרות,the empire,hakeysarut
5581,סבלו,suffered (pl.),savlu
5582,מנתה,counted / included (f.s.),manta
5583,לגשר,to bridge / to mediate,legasher
5583,לגשר,to the bridge,lagesher
5583,לגשר,to a bridge,legesher
5584,והעיר,and the city,veha'ir
5585,אבירי,valiant / knightly,abiri
5586,סייעה,assisted / helped (f.s.),siy'a
5587,מאזן,balance (statement),ma'azan
5587,מאזן,balances (m.s.),me'azen
5588,מנקודת,from the point of,minkudat
5589,לכת,going / walking,lekhet
5590,והצבא,and the army,vehatsava
5591,ובקרב,and in the battle of,uvikrav
5591,ובקרב,and in the battle,uvakrav
5591,ובקרב,and among,uvkerev
5592,ששהו,that/who stayed (pl.),sheshahu
5593,שרדו,survived (pl.),sardu
5594,המהלך,the move / the step / the distance,hamahalakh
5595,הימי,the marine (m.s.),hayami
5596,הקתולית,the Catholic,hakatolit
5596,הקתולית,that/who stands / that/who is about to / that/who endures / that/who succeeds /,
5597,העומד,ha'omed,
5597,העומד,that/who insists on (m.s.),
5598,בידם,in their hand / up to them,beyadam
5599,ניווט,navigation,nivut
5600,מודרני,modern (m.s.),moderni
5601,מרביתם,most of them,marbitam
5602,למעבר,for pass / for transfer / for transit,lema'avar
5602,למעבר,for the pass / for the transfer / for the transit,lama'avar
5603,למבצע,to/for an operation / for a sale,lemivtsa
5603,למבצע,to/for the operation / for the sale,lamivtsa
5604,וכוחות,and powers / and forces / and strengths,vekokhot
5605,ונתן,and gave (m.s.),venatan
5606,שקדם,the former / the preceding,shekadam
5607,חולקו,were divided,khulku
5608,אחרית,end / remainder,akharit
5609,כמאה,approximately a hundred,keme'a
5610,התפתחויות,developments,hitpatkhuyot
5611,האצילים,the aristocrats / the noble (m.pl.),ha'atsilim
5612,הרס,destruction / demolition,heres
5613,בעיתונות,in the press,ba'itonut
5614,סיבות,reasons,sibot
5615,ניצלו,used (pl.) / exploited (pl.) / were saved / were roasted,nitslu
5616,ממושך,prolonged / continuous,memushakh
5617,מורכבים,complicated / complex / consist of / assembled (m.pl.),murkavim
5618,מפקדים,commanders,mefakdim
5618,מפקדים,censuses / musters,mifkadim
5619,מעורבים,mixed / involved (m.pl.),me'oravim
5620,מרגע,from the moment [of],merega
5621,יחסים,relations,yakhasim
5621,יחסים,to/for a system / to/for an editorial board / to/for the system of / to/for the editorial,
5622,למערכת,lema'arekhet,
5622,למערכת,board of,
5622,למערכת,to/for the system / to/for the editorial board,lama'arekhet
5623,לתקשר,to communicate,letaksher
5624,לתנאי,to a condition/ to a provision,letnai
5624,לתנאי,to the conditions of / to the provisions of,letna'ei
5625,שלבים,stages / phases / rungs,shlabim
5626,שפעל,that/who acted / that/who operated (m.s.),shepa'al
5627,שרת,server / janitor,sharat
5628,קיומה,her existence / her survival / its holding / its fulfillment (f.s.),kiyuma
5629,עוצמה,power / force / intensity,otsma
5630,חלקן,some of them / their part / their share (f.pl.),khelkan
5631,כונה,was named,kuna
5632,המורכבת,the complicated / the complex / that consists of / that is assembled (f.s.),hamurkevet
5633,השכלה,education,haskala
5634,גיוס,recruitment,giyus
5635,בוצעה,was performed / was carried out (f.s.),buts'a
5636,רובן,most of them (f.),ruban
5637,ראשונות,first (f.pl.),rishonot
5638,סבלה,suffered (f.s.),savla
5639,נוסח,version / phrased / style,nosakh
5640,מקצועיים,professional (m.pl.),miktso'iyim
5641,לתרום,to donate / to contribute,litrom
5642,לחודש,for a month / per month,lekhodesh
5643,שלטונות,authorities,shiltonot
5644,שותף,partner,shutaf
5645,שורשים,roots,shorashim
5646,שעסק,that/who dealt / that/who engaged / that/who worked (m.s.),she'asak
5647,שחלק,that part,shekhelek
5647,שחלק,who disagreed,shekhalak
5648,שהוביל,that/who led / that/who transported (m.s.),shehovil
5649,שריפת,the burning of / the fire of,srefat
5650,פוטנציאל,potential,potentsyal
5651,פריצה,breakthrough / burglary / irruption,pritsa
5652,אופייני,characteristic (m.s.),ofyani
5653,כוכב,star,kokhav
5654,המאוחדת,the united,hame'ukhedet
5655,המהווים,that are / that constitute (m.pl.),hamehavim
5656,הפסקה,break / intermission,hafsaka
5657,הדמוקרטי,the democratic (m.s.),hademokrati
5658,במשפט,in the trial / in the sentence,bamishpat
5658,במשפט,in a trial / in a sentence,bemishpat
5659,בלחץ,at a pressure of / under pressure,belakhats
5659,בלחץ,under the pressure,balakhats
5660,בתקשורת,in the media / in the communication,batikshoret
5661,בזמנו,in/at the time,bizmano
5662,בכמות,at a quantity of / at an amount of,bekhamut
5663,סרטו,his movie / his ribbon/strip,sirto
5664,נפילתו,his fall,nefilato
5665,נאלצה,was forced / was compelled (f.s.),ne'eltsa
5666,הציוניות,the Zionist (f.pl.),hatsiyoniyot
5667,ומגדל,and a tower,umigdal
5668,צירים,axes / axles / hinges / delegates / sauces / contractions,tsirim
5669,יורדים,go down / come down / descend / decreases (m.pl.),yordim
5670,העיתונות,the press,ha'itonut
5671,הארי,the lion,ha'ari
5671,הארי,the main part,[khelek] ha'ari
5672,הריסת,demolition of / destruction of,harisat
5673,קיבוץ,kibbutz,kibuts
5674,ממוקם,located / situated (m.s.),memukam
5675,פעולותיו,his actions / his operations / his deeds,pe'ulotav
